"","Full","Stem","Index","Min","Max","Total"
"755","find","find","775","0","26","588"
"756","another","anoth","776","0","9","235"
"757","nursery","nurseri","777","0","8","86"
"758","dressing","dress","778","0","3","52"
"759","multiple","multipl","779","0","8","128"
"760","lvg","lvg","781","0","4","26"
"761","inviting","invit","782","0","18","595"
"762","splash","splash","783","0","7","102"
"763","throw","throw","784","0","4","64"
"764","fab","fab","785","0","5","55"
"765","rear","rear","786","0","11","380"
"766","appeal","appeal","787","0","9","235"
"767","outside","outsid","788","0","14","356"
"768","winter","winter","789","0","4","89"
"769","chance","chanc","790","0","3","48"
"770","delightful","delight","791","0","15","422"
"771","reading","read","792","0","4","86"
"772","beat","beat","793","0","4","39"
"773","either","either","794","0","4","31"
"774","deep","deep","795","0","4","108"
"775","now","now","796","0","5","143"
"776","prepare","prepar","797","0","4","46"
"777","meals","meal","798","0","3","42"
"778","looking","look","799","0","16","535"
"779","found","found","800","0","4","68"
"780","footage","footag","801","0","4","63"
"781","ample","ampl","802","0","18","487"
"782","waiting","wait","803","0","11","307"
"783","paved","pave","804","0","5","116"
"784","several","sever","805","0","7","90"
"785","town","town","806","0","5","92"
"786","larger","larger","807","0","4","100"
"787","than","than","808","0","11","244"
"788","usable","usabl","809","0","3","32"
"789","farmhouse","farmhous","811","0","7","154"
"790","vintage","vintag","812","0","14","436"
"791","tall","tall","813","0","9","201"
"792","instant","instant","814","0","4","42"
"793","equity","equiti","815","0","5","91"
"794","cafes","cafe","816","0","18","318"
"795","paradise","paradis","817","0","7","108"
"796","little","littl","818","0","7","171"
"797","feeling","feel","819","0","16","424"
"798","cork","cork","820","0","5","70"
"799","chic","chic","821","0","4","76"
"800","accents","accent","822","0","7","187"
"801","outlook","outlook","823","0","4","85"
"802","wow","wow","824","0","7","121"
"803","tastefully","tastefulli","825","0","10","221"
"804","circa","circa","826","0","2","34"
"805","round","round","827","0","9","195"
"806","amenities","amen","828","0","22","541"
"807","shaker","shaker","829","0","4","58"
"808","multi","multi","830","0","6","143"
"809","1940s","1940","831","0","5","117"
"810","greenery","greeneri","832","0","3","51"
"811","recessed","recess","833","0","6","84"
"812","roughed","rough","834","0","6","86"
"813","embrace","embrac","835","0","4","67"
"814","small","small","836","0","9","195"
"815","creek","creek","837","0","9","92"
"816","cape","cape","838","0","17","441"
"817","cod","cod","839","0","17","431"
"818","curb","curb","840","0","5","89"
"819","cared","care","841","0","12","337"
"820","free","free","843","0","7","84"
"821","since","sinc","844","0","5","101"
"822","organic","organ","845","0","4","110"
"823","veggie","veggi","846","0","3","48"
"824","refurbished","refurbish","847","0","2","28"
"825","worlds","world","848","0","15","394"
"826","awaits","await","849","0","17","326"
"827","nights","night","850","0","7","108"
"828","drop","drop","851","0","3","41"
"829","stunningly","stunningli","852","0","3","29"
"830","barn","barn","853","0","3","33"
"831","kitchenette","kitchenett","854","0","6","87"
"832","seperate","seper","855","0","3","26"
"833","morgan","morgan","856","0","4","82"
"834","vibrant","vibrant","857","0","9","151"
"835","roosevelt","roosevelt","858","0","3","47"
"836","bedrms","bedrm","859","0","8","246"
"837","efficiency","effici","860","0","17","518"
"838","uw","uw","861","0","17","397"
"839","station","station","862","0","11","185"
"840","score","score","863","0","14","340"
"841","spectacular","spectacular","865","0","14","277"
"842","desirable","desir","866","0","19","687"
"843","wallingford","wallingford","867","0","12","230"
"844","community","commun","868","0","19","415"
"845","old","old","869","0","20","546"
"846","restored","restor","870","0","13","355"
"847","white","white","871","0","14","264"
"848","hw","hw","872","0","3","43"
"849","antique","antiqu","873","0","2","28"
"850","cabs","cab","874","0","6","81"
"851","apps","app","875","0","2","43"
"852","bs","b","876","0","5","75"
"853","enormous","enorm","877","0","6","101"
"854","loft","loft","878","0","9","252"
"855","o","o","879","0","4","31"
"856","h","h","880","0","6","52"
"857","e","e","881","0","3","48"
"858","tankless","tankless","882","0","6","103"
"859","pkg","pkg","883","0","5","93"
"860","colonial","coloni","884","0","7","161"
"861","exceptionally","exception","885","0","2","50"
"862","elegant","eleg","886","0","19","485"
"863","wooden","wooden","887","0","3","30"
"864","solid","solid","888","0","14","395"
"865","carrera","carrera","889","0","2","29"
"866","marble","marbl","890","0","13","369"
"867","every","everi","891","0","14","378"
"868","captivating","captiv","892","0","3","88"
"869","enjoyment","enjoy","893","0","4","62"
"870","phinney","phinnei","895","0","19","356"
"871","ridge","ridg","896","0","19","412"
"872","flooded","flood","897","0","6","173"
"873","owc","owc","898","0","3","24"
"874","quaint","quaint","899","0","6","112"
"875","country","countri","900","0","6","157"
"876","bd","bd","901","0","9","149"
"877","woodland","woodland","902","0","5","76"
"878","coffee","coffe","903","0","20","415"
"879","eateries","eateri","904","0","9","178"
"880","these","these","905","0","4","51"
"881","few","few","906","0","11","283"
"882","remaining","remain","907","0","4","51"
"883","roll","roll","908","0","3","33"
"884","bring","bring","909","0","12","329"
"885","imagination","imagin","910","0","10","191"
"886","madrona","madrona","911","0","11","148"
"887","avenue","avenu","912","0","6","58"
"888","magazine","magazin","913","0","3","38"
"889","four","four","914","0","10","259"
"890","showcasing","showcas","915","0","7","123"
"891","millwork","millwork","916","0","16","271"
"892","above","abov","917","0","22","565"
"893","enhances","enhanc","918","0","5","122"
"894","livability","livabl","920","0","5","90"
"895","walkability","walkabl","921","0","9","194"
"896","sensational","sensat","922","0","3","33"
"897","boo","boo","923","0","4","90"
"898","cascade","cascad","924","0","16","451"
"899","commercial","commerci","925","0","3","52"
"900","district","district","926","0","8","158"
"901","choices","choic","927","0","4","73"
"902","hi","hi","928","0","4","83"
"903","red","red","929","0","4","55"
"904","sense","sens","930","0","5","73"
"905","peace","peac","931","0","15","302"
"906","diamond","diamond","932","0","6","45"
"907","subway","subwai","933","0","6","88"
"908","ease","eas","934","0","3","52"
"909","unique","uniqu","936","0","14","365"
"910","galore","galor","937","0","9","174"
"911","still","still","938","0","6","121"
"912","highlights","highlight","939","0","5","119"
"913","batchelder","batcheld","940","0","3","65"
"914","blt","blt","942","0","2","26"
"915","aesthetics","aesthet","943","0","3","38"
"916","big","big","944","0","34","909"
"917","verdant","verdant","945","0","4","52"
"918","fun","fun","946","0","11","263"
"919","mahogany","mahogani","947","0","9","214"
"920","woodwork","woodwork","948","0","10","168"
"921","generous","gener","949","0","20","704"
"922","amp","amp","951","0","33","488"
"923","panel","panel","952","0","11","359"
"924","permitted","permit","953","0","7","53"
"925","dwelling","dwell","954","0","4","61"
"926","radiant","radiant","955","0","10","254"
"927","super","super","956","0","13","310"
"928","variety","varieti","957","0","3","31"
"929","vegetables","veget","958","0","4","85"
"930","attic","attic","959","0","9","223"
"931","transit","transit","960","0","17","308"
"932","public","public","961","0","10","129"
"933","paths","path","962","0","4","77"
"934","carkeek","carkeek","963","0","5","117"
"935","fire","fire","964","0","12","204"
"936","workshop","workshop","966","0","11","309"
"937","outbuildings","outbuild","967","0","10","95"
"938","appls","appl","968","0","13","256"
"939","mantled","mantl","969","0","6","124"
"940","frpl","frpl","970","0","7","176"
"941","california","california","971","0","4","67"
"942","sliding","slide","972","0","8","154"
"943","awesome","awesom","973","0","8","182"
"944","blue","blue","974","0","7","96"
"945","golden","golden","975","0","6","92"
"946","dwntwn","dwntwn","976","0","3","31"
"947","greenlake","greenlak","977","0","10","243"
"948","lrg","lrg","978","0","13","216"
"949","pantry","pantri","979","0","16","388"
"950","ballard","ballard","980","0","33","819"
"951","hidden","hidden","981","0","4","68"
"952","surprises","surpris","982","0","4","80"
"953","knocks","knock","983","0","4","68"
"954","barbecue","barbecu","984","0","5","73"
"955","raised","rais","985","0","13","213"
"956","grape","grape","986","0","3","40"
"957","pad","pad","987","0","7","96"
"958","hop","hop","988","0","6","50"
"959","tasteful","tast","989","0","7","151"
"960","bosch","bosch","990","0","3","70"
"961","ge","ge","991","0","5","37"
"962","refrigerator","refriger","992","0","4","108"
"963","european","european","993","0","4","49"
"964","professionally","profession","994","0","12","313"
"965","rocking","rock","995","0","8","228"
"966","chair","chair","996","0","8","191"
"967","inspired","inspir","997","0","7","166"
"968","bookcases","bookcas","998","0","6","88"
"969","playroom","playroom","999","0","4","51"
"970","barbeque","barbequ","1000","0","3","31"
"971","chef","chef","1001","0","23","603"
"972","air","air","1002","0","13","308"
"973","addl","addl","1003","0","3","35"
"974","morning","morn","1004","0","12","156"
"975","det","det","1005","0","4","44"
"976","tudor","tudor","1006","0","4","47"
"977","rich","rich","1007","0","19","550"
"978","stucco","stucco","1008","0","6","229"
"979","final","final","1009","0","4","37"
"980","do","do","1010","0","2","31"
"981","scope","scope","1011","0","11","214"
"982","inspection","inspect","1012","0","4","30"
"983","available","avail","1013","0","6","56"
"984","vibe","vibe","1014","0","8","195"
"985","true","true","1015","0","4","43"
"986","library","librari","1016","0","10","229"
"987","theater","theater","1017","0","11","258"
"988","moulding","mould","1018","0","7","118"
"989","tank","tank","1019","0","3","48"
"990","trellis","trelli","1020","0","6","140"
"991","around","around","1021","0","2","29"
"992","metropolitan","metropolitan","1022","0","11","317"
"993","market","market","1023","0","3","44"
"994","where","where","1024","0","20","565"
"995","coop","coop","1025","0","11","181"
"996","seats","seat","1026","0","3","35"
"997","ironwood","ironwood","1027","0","11","229"
"998","grow","grow","1028","0","2","29"
"999","refreshed","refresh","1030","0","3","70"
"1000","peak","peak","1031","0","6","76"
"1001","thru","thru","1032","0","4","49"
"1002","jacuzzi","jacuzzi","1033","0","7","182"
"1003","mother","mother","1034","0","4","50"
"1004","bottom","bottom","1035","0","9","133"
"1005","laminate","lamin","1037","0","5","83"
"1006","skylights","skylight","1038","0","6","97"
"1007","staircase","staircas","1039","0","20","510"
"1008","does","doe","1040","0","10","235"
"1009","greenhouse","greenhous","1041","0","3","43"
"1010","corian","corian","1042","0","3","52"
"1011","roomy","roomi","1043","0","3","50"
"1012","travertine","travertin","1045","0","5","46"
"1013","form","form","1046","0","4","71"
"1014","function","function","1047","0","3","52"
"1015","laid","laid","1048","0","15","297"
"1016","foot","foot","1049","0","2","34"
"1017","recroom","recroom","1050","0","13","324"
"1018","greenbelt","greenbelt","1051","0","3","30"
"1019","backsplash","backsplash","1052","0","6","106"
"1020","pull","pull","1053","0","7","177"
"1021","drawers","drawer","1054","0","3","44"
"1022","everyone","everyon","1055","0","2","48"
"1023","bench","bench","1056","0","5","85"
"1024","swim","swim","1057","0","5","87"
"1025","tennis","tenni","1058","0","6","76"
"1026","elem","elem","1059","0","7","87"
"1027","zoning","zone","1060","0","4","66"
"1028","fremont","fremont","1061","0","10","154"
"1029","selling","sell","1062","0","11","190"
"1030","property","properti","1063","0","5","93"
"1031","tulip","tulip","1065","0","2","40"
"1032","sparkling","sparkl","1066","0","2","34"
"1033","storybook","storybook","1067","0","5","110"
"1034","cottage","cottag","1068","0","5","71"
"1035","insert","insert","1069","0","11","259"
"1036","retains","retain","1071","0","6","128"
"1037","whittier","whittier","1072","0","6","118"
"1038","coveted","covet","1073","0","4","65"
"1039","together","togeth","1074","0","24","445"
"1040","walkscore","walkscor","1075","0","6","60"
"1041","mention","mention","1076","0","5","109"
"1042","superb","superb","1078","0","7","86"
"1043","life","life","1079","0","6","135"
"1044","sophistication","sophist","1081","0","3","65"
"1045","grace","grace","1082","0","7","185"
"1046","through","through","1083","0","5","120"
"1047","signature","signatur","1084","0","18","421"
"1048","her","her","1085","0","3","37"
"1049","gaming","game","1086","0","3","40"
"1050","sidewalks","sidewalk","1087","0","5","94"
"1051","meadowbrook","meadowbrook","1088","0","4","53"
"1052","4br","4br","1089","0","5","92"
"1053","sink","sink","1090","0","4","30"
"1054","oasis","oasi","1091","0","16","444"
"1055","enchanting","enchant","1092","0","15","341"
"1056","business","busi","1093","0","6","128"
"1057","think","think","1094","0","5","94"
"1058","real","real","1095","0","4","37"
"1059","spend","spend","1096","0","6","135"
"1060","sauna","sauna","1097","0","4","29"
"1061","vacuum","vacuum","1098","0","5","89"
"1062","greets","greet","1099","0","3","30"
"1063","appointed","appoint","1100","0","7","131"
"1064","2ba","2ba","1101","0","11","156"
"1065","route","rout","1102","0","3","42"
"1066","kitch","kitch","1103","0","5","70"
"1067","westerly","westerli","1104","0","5","132"
"1068","energy","energi","1105","0","4","84"
"1069","impeccably","impecc","1106","0","9","249"
"1070","mounted","mount","1107","0","9","199"
"1071","culinary","culinari","1108","0","9","108"
"1072","5th","5th","1109","0","3","26"
"1073","captured","captur","1110","0","4","82"
"1074","established","establish","1111","0","9","174"
"1075","pass","pass","1112","0","5","78"
"1076","breeze","breez","1113","0","3","50"
"1077","adu","adu","1114","0","5","62"
"1078","timeless","timeless","1115","0","15","170"
"1079","solarium","solarium","1116","0","7","177"
"1080","toward","toward","1117","0","3","30"
"1081","terrace","terrac","1118","0","5","53"
"1082","most","most","1119","0","10","271"
"1083","manteled","mantel","1120","0","17","468"
"1084","framing","frame","1121","0","4","54"
"1085","retro","retro","1122","0","11","196"
"1086","had","had","1123","0","5","107"
"1087","knotty","knotti","1124","0","3","41"
"1088","pine","pine","1125","0","2","39"
"1089","food","food","1126","0","5","74"
"1090","pipes","pipe","1127","0","6","76"
"1091","pk","pk","1128","0","3","28"
"1092","cosmetic","cosmet","1129","0","5","55"
"1093","say","sai","1130","0","5","76"
"1094","traditional","tradit","1131","0","2","34"
"1095","cupboards","cupboard","1132","0","10","328"
"1096","onto","onto","1133","0","3","47"
"1097","choose","choos","1134","0","12","249"
"1098","yet","yet","1135","0","2","28"
"1099","residential","residenti","1136","0","15","372"
"1100","re","re","1137","0","6","88"
"1101","walnut","walnut","1138","0","10","215"
"1102","masterpiece","masterpiec","1139","0","6","51"
"1103","waterfront","waterfront","1140","0","3","47"
"1104","shipping","ship","1141","0","9","140"
"1105","lanes","lane","1142","0","5","67"
"1106","de","de","1143","0","4","90"
"1107","head","head","1144","0","8","127"
"1108","metal","metal","1145","0","5","108"
"1109","point","point","1146","0","6","77"
"1110","majestic","majest","1147","0","11","145"
"1111","needle","needl","1148","0","4","48"
"1112","incredible","incred","1149","0","4","74"
"1113","development","develop","1150","0","10","304"
"1114","put","put","1151","0","7","104"
"1115","they","thei","1152","0","4","66"
"1116","any","ani","1153","0","5","63"
"1117","proudly","proudli","1154","0","5","145"
"1118","boulevard","boulevard","1155","0","3","46"
"1119","upon","upon","1156","0","3","43"
"1120","foyer","foyer","1157","0","5","71"
"1121","anchored","anchor","1158","0","6","85"
"1122","grand","grand","1159","0","4","34"
"1123","left","left","1160","0","14","346"
"1124","youll","youll","1161","0","4","62"
"1125","stately","state","1162","0","6","104"
"1126","ago","ago","1163","0","8","180"
"1127","parlor","parlor","1164","0","3","41"
"1128","which","which","1165","0","3","25"
"1129","pleasant","pleasant","1166","0","16","333"
"1130","below","below","1167","0","4","62"
"1131","equally","equal","1168","0","5","108"
"1132","dinner","dinner","1169","0","3","32"
"1133","kept","kept","1171","0","8","94"
"1134","favorite","favorit","1172","0","4","77"
"1135","under","under","1173","0","6","77"
"1136","hood","hood","1174","0","14","339"
"1137","never","never","1175","0","4","68"
"1138","die","die","1176","0","4","43"
"1139","middle","middl","1177","0","3","29"
"1140","itself","itself","1178","0","4","36"
"1141","murphy","murphi","1179","0","3","37"
"1142","p","p","1180","0","3","33"
"1143","patch","patch","1181","0","3","53"
"1144","shape","shape","1182","0","3","47"
"1145","residence","resid","1183","0","5","47"
"1146","decorative","decor","1184","0","7","179"
"1147","archways","archwai","1185","0","3","45"
"1148","attractive","attract","1186","0","5","63"
"1149","connection","connect","1187","0","7","109"
"1150","power","power","1188","0","9","152"
"1151","industrial","industri","1189","0","6","78"
"1152","fan","fan","1190","0","3","26"
"1153","keep","keep","1191","0","5","58"
"1154","whole","whole","1192","0","5","113"
"1155","shingle","shingl","1193","0","5","80"
"1156","upscale","upscal","1194","0","4","49"
"1157","ktchn","ktchn","1195","0","3","44"
"1158","their","their","1196","0","4","36"
"1159","ensuite","ensuit","1197","0","4","82"
"1160","bathrm","bathrm","1198","0","5","69"
"1161","bikes","bike","1199","0","3","35"
"1162","sight","sight","1200","0","11","212"
"1163","northwest","northwest","1202","0","6","48"
"1164","cul","cul","1203","0","5","103"
"1165","sac","sac","1204","0","8","121"
"1166","wrapped","wrap","1205","0","8","121"
"1167","l","l","1206","0","11","247"
"1168","broadview","broadview","1207","0","6","152"
"1169","sleeping","sleep","1208","0","8","153"
"1170","yr","yr","1209","0","4","44"
"1171","warranty","warranti","1210","0","5","130"
"1172","prepped","prep","1211","0","6","105"
"1173","remarkable","remark","1212","0","3","44"
"1174","traffic","traffic","1213","0","4","82"
"1175","affords","afford","1214","0","5","63"
"1176","absolutely","absolut","1215","0","5","109"
"1177","entire","entir","1216","0","7","171"
"1178","meticulously","meticul","1217","0","7","100"
"1179","zero","zero","1218","0","13","311"
"1180","dog","dog","1219","0","6","84"
"1181","run","run","1220","0","8","132"
"1182","g","g","1221","0","6","120"
"1183","metro","metro","1222","0","4","36"
"1184","investment","invest","1223","0","3","49"
"1185","ride","ride","1225","0","4","37"
"1186","ranch","ranch","1227","0","2","32"
"1187","union","union","1228","0","2","25"
"1188","skyline","skylin","1229","0","8","118"
"1189","may","mai","1230","0","15","147"
"1190","duplex","duplex","1231","0","4","69"
"1191","conversion","convers","1232","0","3","29"
"1192","extensive","extens","1233","0","4","31"
"1193","approved","approv","1234","0","11","302"
"1194","highest","highest","1235","0","9","41"
"1195","split","split","1236","0","3","41"
"1196","mix","mix","1237","0","14","137"
"1197","informal","inform","1238","0","5","72"
"1198","butlers","butler","1241","0","8","173"
"1199","blooming","bloom","1242","0","5","59"
"1200","dayrooms","dayroom","1243","0","3","39"
"1201","redone","redon","1244","0","3","27"
"1202","rainy","raini","1245","0","7","114"
"1203","retail","retail","1246","0","2","26"
"1204","sunday","sundai","1247","0","5","62"
"1205","farmer","farmer","1248","0","4","56"
"1206","local","local","1249","0","5","97"
"1207","sunroom","sunroom","1250","0","13","197"
"1208","trader","trader","1251","0","6","93"
"1209","joes","joe","1252","0","3","33"
"1210","fine","fine","1253","0","4","48"
"1211","transportation","transport","1254","0","4","82"
"1212","swedish","swedish","1255","0","8","126"
"1213","speakers","speaker","1256","0","2","32"
"1214","sprinkler","sprinkler","1257","0","4","65"
"1215","defined","defin","1259","0","4","62"
"1216","ac","ac","1260","0","3","45"
"1217","thoughtful","thought","1261","0","6","111"
"1218","lit","lit","1262","0","9","180"
"1219","shelving","shelv","1263","0","3","58"
"1220","let","let","1264","0","7","121"
"1221","bryant","bryant","1265","0","6","125"
"1222","meets","meet","1266","0","11","231"
"1223","highly","highli","1267","0","8","129"
"1224","flagstone","flagston","1268","0","12","212"
"1225","drenched","drench","1269","0","2","48"
"1226","honey","honei","1270","0","6","160"
"1227","pcc","pcc","1271","0","2","32"
"1228","bg","bg","1272","0","7","128"
"1229","magnuson","magnuson","1273","0","3","46"
"1230","part","part","1274","0","4","45"
"1231","anderson","anderson","1275","0","5","86"
"1232","ne","ne","1276","0","3","34"
"1233","indoors","indoor","1277","0","3","50"
"1234","fam","fam","1278","0","12","193"
"1235","ball","ball","1279","0","9","185"
"1236","sustainably","sustain","1280","0","3","30"
"1237","paperstone","paperston","1281","0","4","27"
"1238","concrete","concret","1282","0","2","28"
"1239","clear","clear","1283","0","7","175"
"1240","bsmt","bsmt","1284","0","4","44"
"1241","ravine","ravin","1285","0","16","254"
"1242","atrium","atrium","1286","0","3","29"
"1243","atop","atop","1287","0","3","38"
"1244","wide","wide","1288","0","3","51"
"1245","elliot","elliot","1289","0","10","215"
"1246","across","across","1290","0","2","33"
"1247","whimsical","whimsic","1291","0","13","234"
"1248","simply","simpli","1292","0","4","31"
"1249","unbelievable","unbeliev","1293","0","4","72"
"1250","present","present","1294","0","3","34"
"1251","commanding","command","1295","0","5","114"
"1252","gym","gym","1296","0","3","47"
"1253","watch","watch","1297","0","3","46"
"1254","viking","vike","1298","0","9","137"
"1255","nearby","nearbi","1299","0","8","191"
"1256","bakery","bakeri","1300","0","12","229"
"1257","then","then","1301","0","8","72"
"1258","bones","bone","1302","0","4","74"
"1259","start","start","1303","0","6","98"
"1260","italian","italian","1304","0","8","94"
"1261","floating","float","1305","0","3","52"
"1262","hearth","hearth","1306","0","3","35"
"1263","info","info","1307","0","3","39"
"1264","http","http","1308","0","3","55"
"1265","com","com","1309","0","4","43"
"1266","magical","magic","1310","0","7","118"
"1267","won","won","1311","0","6","83"
"1268","exquisite","exquisit","1312","0","6","84"
"1269","iconic","icon","1313","0","13","200"
"1270","mudroom","mudroom","1314","0","3","30"
"1271","wash","wash","1315","0","4","58"
"1272","east","east","1316","0","5","58"
"1273","acre","acr","1317","0","8","131"
"1274","walkway","walkwai","1318","0","6","116"
"1275","soaring","soar","1320","0","3","47"
"1276","semi","semi","1321","0","11","188"
"1277","hallways","hallwai","1322","0","5","40"
"1278","historic","histor","1323","0","3","52"
"1279","kubota","kubota","1324","0","10","156"
"1280","forced","forc","1325","0","4","29"
"1281","h20","h20","1326","0","4","76"
"1282","tool","tool","1328","0","6","112"
"1283","equipped","equip","1329","0","6","72"
"1284","via","via","1330","0","4","73"
"1285","grade","grade","1331","0","5","92"
"1286","oil","oil","1332","0","4","73"
"1287","existing","exist","1333","0","2","39"
"1288","h2o","h2o","1334","0","4","52"
"1289","engineered","engin","1335","0","4","100"
"1290","stop","stop","1336","0","3","26"
"1291","definitely","definit","1337","0","5","84"
"1292","inlayed","inlai","1338","0","2","32"
"1293","fourth","fourth","1339","0","2","49"
"1294","construction","construct","1340","0","3","46"
"1295","materials","materi","1341","0","11","295"
"1296","brazilian","brazilian","1342","0","6","105"
"1297","award","award","1343","0","5","91"
"1298","winning","win","1344","0","7","89"
"1299","loyal","loyal","1345","0","7","102"
"1300","afternoons","afternoon","1346","0","7","118"
"1301","starter","starter","1347","0","4","66"
"1302","vehicles","vehicl","1348","0","6","129"
"1303","wainscotting","wainscot","1349","0","4","37"
"1304","pedestal","pedest","1350","0","6","148"
"1305","scenic","scenic","1351","0","4","66"
"1306","shilshole","shilshol","1352","0","3","25"
"1307","artists","artist","1353","0","2","32"
"1308","palette","palett","1354","0","6","159"
"1309","pacific","pacif","1355","0","3","41"
"1310","buses","buse","1357","0","3","27"
"1311","hands","hand","1358","0","7","98"
"1312","superior","superior","1359","0","5","69"
"1313","integrity","integr","1360","0","3","30"
"1314","pocket","pocket","1361","0","4","57"
"1315","marmoleum","marmoleum","1362","0","4","70"
"1316","discovered","discov","1363","0","3","54"
"1317","handsome","handsom","1364","0","3","52"
"1318","stream","stream","1365","0","10","133"
"1319","ponds","pond","1366","0","4","55"
"1320","ceramic","ceram","1367","0","5","87"
"1321","cup","cup","1369","0","3","63"
"1322","columbia","columbia","1370","0","3","26"
"1323","youve","youv","1371","0","14","309"
"1324","yesteryear","yesteryear","1372","0","2","32"
"1325","continue","continu","1373","0","2","29"
"1326","gatherings","gather","1374","0","3","60"
"1327","intimate","intim","1375","0","7","153"
"1328","oven","oven","1376","0","4","60"
"1329","microwave","microwav","1377","0","7","165"
"1330","casual","casual","1378","0","3","37"
"1331","polished","polish","1379","0","8","128"
"1332","flanked","flank","1380","0","5","91"
"1333","zen","zen","1381","0","3","66"
"1334","fountain","fountain","1382","0","3","52"
"1335","proximity","proxim","1383","0","3","50"
"1336","something","someth","1384","0","4","84"
"1337","drink","drink","1385","0","3","39"
"1338","catch","catch","1386","0","3","26"
"1339","airport","airport","1387","0","4","52"
"1340","about","about","1388","0","6","85"
"1341","sip","sip","1390","0","4","67"
"1342","mind","mind","1391","0","3","32"
"1343","appreciate","appreci","1392","0","3","64"
"1344","structure","structur","1393","0","8","109"
"1345","1st","1st","1394","0","4","70"
"1346","sizable","sizabl","1395","0","4","81"
"1347","yoga","yoga","1396","0","2","39"
"1348","such","such","1397","0","5","47"
"1349","know","know","1398","0","5","97"
"1350","certified","certifi","1399","0","2","31"
"1351","sunrise","sunris","1400","0","2","31"
"1352","whatever","whatev","1401","0","9","91"
"1353","quintessential","quintessenti","1402","0","3","29"
"1354","rapid","rapid","1403","0","6","111"
"1355","greenwood","greenwood","1404","0","4","49"
"1356","term","term","1405","0","10","257"
"1357","hold","hold","1406","0","3","34"
"1358","swing","swing","1407","0","3","49"
"1359","bertazzoni","bertazzoni","1408","0","3","36"
"1360","explore","explor","1409","0","2","25"
"1361","apos","apo","1410","0","4","26"
"1362","irrigation","irrig","1411","0","10","67"
"1363","discovery","discoveri","1412","0","3","39"
"1364","pizza","pizza","1413","0","7","136"
"1365","stroll","stroll","1414","0","3","27"
"1366","magnolia","magnolia","1415","0","11","212"
"1367","grab","grab","1416","0","28","425"
"1368","starbucks","starbuck","1417","0","2","26"
"1369","gracious","graciou","1418","0","3","48"
"1370","nanny","nanni","1419","0","13","400"
"1371","hardwds","hardwd","1420","0","3","44"
"1372","courtyard","courtyard","1421","0","4","60"
"1373","grassy","grassi","1422","0","7","153"
"1374","goes","goe","1423","0","3","38"
"1375","yourself","yourself","1424","0","3","40"
"1376","sandstone","sandston","1425","0","5","75"
"1377","exercise","exercis","1426","0","5","40"
"1378","hip","hip","1427","0","4","68"
"1379","authentic","authent","1428","0","7","114"
"1380","slope","slope","1429","0","3","34"
"1381","protected","protect","1430","0","6","78"
"1382","manicured","manicur","1431","0","4","68"
"1383","finest","finest","1432","0","5","103"
"1384","six","six","1433","0","4","84"
"1385","burner","burner","1434","0","3","26"
"1386","playground","playground","1435","0","5","75"
"1387","made","made","1436","0","5","81"
"1388","sleek","sleek","1437","0","7","82"
"1389","accommodating","accommod","1438","0","9","110"
"1390","dacor","dacor","1439","0","4","63"
"1391","black","black","1440","0","3","34"
"1392","honed","hone","1441","0","2","44"
"1393","steam","steam","1442","0","4","50"
"1394","pristine","pristin","1443","0","3","43"
"1395","sunshine","sunshin","1444","0","6","97"
"1396","baker","baker","1445","0","3","49"
"1397","seamlessly","seamlessli","1446","0","10","211"
"1398","cooler","cooler","1447","0","5","98"
"1399","dues","due","1448","0","3","25"
"1400","ultimate","ultim","1449","0","3","31"
"1401","condo","condo","1450","0","4","45"
"1402","alternative","altern","1451","0","6","98"
"1403","breathtaking","breathtak","1452","0","5","96"
"1404","directly","directli","1453","0","8","99"
"1405","dutch","dutch","1454","0","4","53"
"1406","queen","queen","1455","0","5","99"
"1407","anne","ann","1456","0","15","336"
"1408","bank","bank","1457","0","15","339"
"1409","changing","chang","1458","0","9","76"
"1410","vashon","vashon","1459","0","4","46"
"1411","sea","sea","1460","0","4","35"
"1412","southwest","southwest","1461","0","4","52"
"1413","photos","photo","1462","0","3","32"
"1414","virtual","virtual","1463","0","15","75"
"1415","tour","tour","1464","0","5","39"
"1416","noted","note","1465","0","4","45"
"1417","architect","architect","1466","0","2","29"
"1418","cathedral","cathedr","1467","0","9","172"
"1419","bells","bell","1469","0","4","73"
"1420","whistles","whistl","1470","0","3","31"
"1421","attention","attent","1472","0","5","97"
"1422","socks","sock","1473","0","7","164"
"1423","bluff","bluff","1474","0","2","28"
"1424","before","befor","1475","0","3","27"
"1425","outstanding","outstand","1476","0","4","40"
"1426","unwind","unwind","1477","0","5","107"
"1427","extremely","extrem","1478","0","3","27"
"1428","birds","bird","1479","0","3","39"
"1429","cement","cement","1480","0","2","37"
"1430","pit","pit","1481","0","3","27"
"1431","leave","leav","1482","0","7","96"
"1432","surfaces","surfac","1483","0","6","80"
"1433","balance","balanc","1484","0","4","57"
"1434","treed","treed","1486","0","3","37"
"1435","eagles","eagl","1487","0","3","29"
"1436","canvas","canva","1488","0","3","26"
"1437","glorious","gloriou","1489","0","3","44"
"1438","mechanicals","mechan","1490","0","3","56"
"1439","lift","lift","1491","0","2","32"
"1440","treasures","treasur","1492","0","3","38"
"1441","shutters","shutter","1493","0","5","67"
"1442","sky","sky","1494","0","4","50"
"1443","blank","blank","1495","0","4","55"
"1444","dynamic","dynam","1496","0","4","42"
